"Location","Vel_dir","Height","H_m","Width","Source","direction.deg","payload","Distance_m","Nom_WS"
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 5m 3m-s",1.47282135256731,2,5,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 5m 3m-s",346.351579847977,2,5,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 5m 3m-s",353.747493783447,2,5,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 5m 3m-s",4.31846571792041,2,5,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 5m 3m-s",16.5568120800024,2,5,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 5m 4.5m-s",30.5856071195906,2,5,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 5m 4.5m-s",4.29366210843307,2,5,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 5m 4.5m-s",324.742701904613,2,5,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 5m 4.5m-s",342.653103448602,2,5,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 5m 4.5m-s",0.714653391925791,2,5,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 5m 4.5m-s",14.4905029547934,2,5,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 5m 4.5m-s",345.239457260222,2,5,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 5m 4.5m-s",357.93223473384,2,5,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 5m 4.5m-s",8.79938599143493,2,5,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 4m 1.5 m-s",22.3198307950102,2,4,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 4m 1.5 m-s",344.061750668591,2,4,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 4m 1.5 m-s",329.618715115263,2,4,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 4m 1.5 m-s",4.72038008851514,2,4,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 4m 1.5 m-s",358.185598806514,2,4,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 4m 1.5 m-s",350.953018898431,2,4,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 4m 1.5 m-s",344.888280981465,2,4,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 4m 1.5 m-s",3.7583437436372,2,4,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 4m 1.5 m-s",11.8472786205375,2,4,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 4m 3m-s",19.3296936326479,2,4,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 4m 3m-s",2.3008229748628,2,4,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 4m 3m-s",336.687497364723,2,4,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 4m 3m-s",350.903587397287,2,4,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 4m 3m-s",2.17685841519518,2,4,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 4m 3m-s",358.165802089344,2,4,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 4m 3m-s",353.622145579708,2,4,3
